"Device name","Device ID","Managed by","Creator","OS","OS Version","Domain","Tailscale version","Tags","Created","Last seen","Key expiry","Tailscale IPs","Endpoints","Subnet router","Approved subnet routes","Unapproved subnet routes","Exit node","Ephemeral","Shared in","Tailscale SSH","Funnel"
"alexs-macbook-pro","ndFkCu2h7Q11CNTRL","alex-osa@github","alex-osa@github","macOS","26.5.1","alexs-macbook-pro.tail5af6de.ts.net","1.98.5-t8f8fe6a2e-gc1619fb10","","2026-06-06T23:04:25Z",,"2026-12-06T01:04:53Z","100.123.215.25,fd7a:115c:a1e0::1237:d71a","",,"","",,,,,
"desktop-ufngrm3","nQ9DYGTMY321CNTRL","alex-osa@github","alex-osa@github","windows","10.0.26200.8524","desktop-ufngrm3.tail5af6de.ts.net","1.98.4-t9e69045b2-ged3a62f14","","2026-06-06T23:30:03Z",,"2026-12-03T23:30:03Z","100.93.169.93,fd7a:115c:a1e0::5337:a95f","",,"","",,,,,
"ipad-gen-6","n9wiRLeAVZ11CNTRL","alex-osa@github","alex-osa@github","iOS","17.7.11","ipad-gen-6.tail5af6de.ts.net","1.98.5-t8f8fe6a2e-gc1619fb10","","2026-06-07T00:09:18Z",,"2026-12-04T00:09:18Z","100.77.45.39,fd7a:115c:a1e0::b537:2d28","",,"","",,,,,
"iphone-11","nsi43SYEmy11CNTRL","alex-osa@github","alex-osa@github","iOS","18.7.8","iphone-11.tail5af6de.ts.net","1.98.5-t8f8fe6a2e-gc1619fb10","","2026-06-07T00:08:25Z",,"2026-12-04T00:08:25Z","100.70.138.33,fd7a:115c:a1e0::1937:8a22","",,"","",,,,,
